word	nodeType	unit
simple	ADJ	vol-20
young	ADJ	vol-20
old	ADJ	vol-20
baroque	ADJ	vol-20
baroque	ADJ	vol-20
right	ADJ	vol-20
right	ADJ	vol-20
difficult	ADJ	vol-20
prevalent	ADJ	vol-20
17th	ADJ	vol-20
own	ADJ	vol-20
simple	ADJ	vol-20
extravagant	ADJ	vol-20
ostentatious	ADJ	vol-20
own	ADJ	vol-20
other	ADJ	vol-20
old	ADJ	vol-20
cute	ADJ	vol-20
hard	ADJ	vol-20
dang	ADJ	vol-20
tootin	ADJ	vol-20
former	ADJ	vol-20
cute	ADJ	vol-20
certain	ADJ	vol-20
editorial	ADJ	vol-20
right	ADJ	vol-20
relentless	ADJ	vol-20
sacred	ADJ	vol-20
other	ADJ	vol-20
top	ADJ	vol-20
hard	ADJ	vol-20
picky	ADJ	vol-20
other	ADJ	vol-20
dear	ADJ	vol-20
dirty	ADJ	vol-20
female	ADJ	vol-20
serious	ADJ	vol-20
awful	ADJ	vol-20
true	ADJ	vol-20
impressed	ADJ	vol-20
old	ADJ	vol-20
right	ADJ	vol-20
refined	ADJ	vol-20
only	ADJ	vol-20
good	ADJ	vol-20
middle	ADJ	vol-20
middle	ADJ	vol-20
little	ADJ	vol-20
human	ADJ	vol-20
true	ADJ	vol-20
more	ADJ	vol-20
human	ADJ	vol-20
like	ADJ	vol-20
many	ADJ	vol-20
great	ADJ	vol-20
real	ADJ	vol-20
next	ADJ	vol-20
right	ADJ	vol-21
boring	ADJ	vol-21
good	ADJ	vol-21
more	ADJ	vol-21
full	ADJ	vol-21
left	ADJ	vol-21
other	ADJ	vol-21
such	ADJ	vol-21
impossible	ADJ	vol-21
impossible	ADJ	vol-21
close	ADJ	vol-21
other	ADJ	vol-21
large	ADJ	vol-21
other	ADJ	vol-21
mean	ADJ	vol-21
uhhhhhh	ADJ	vol-21
uhhh	ADJ	vol-21
sure	ADJ	vol-21
right	ADJ	vol-21
orange	ADJ	vol-21
true	ADJ	vol-21
different	ADJ	vol-21
green	ADJ	vol-21
different	ADJ	vol-21
2nd	ADJ	vol-21
5th	ADJ	vol-21
same	ADJ	vol-21
right	ADJ	vol-21
correct	ADJ	vol-21
current	ADJ	vol-21
easy	ADJ	vol-21
right	ADJ	vol-21
little	ADJ	vol-21
most	ADJ	vol-21
former	ADJ	vol-21
first	ADJ	vol-21
drunk	ADJ	vol-21
surprised	ADJ	vol-21
second	ADJ	vol-21
second	ADJ	vol-21
strong	ADJ	vol-21
little	ADJ	vol-21
lonely	ADJ	vol-21
happy	ADJ	vol-21
sober	ADJ	vol-21
different	ADJ	vol-21
other	ADJ	vol-21
next	ADJ	vol-21
big	ADJ	vol-21
much	ADJ	vol-21
good	ADJ	vol-25
sudden	ADJ	vol-25
related	ADJ	vol-25
fast	ADJ	vol-25
good	ADJ	vol-25
ro	ADJ	vol-25
naked	ADJ	vol-25
favourite	ADJ	vol-25
naked	ADJ	vol-25
english	ADJ	vol-25
other	ADJ	vol-25
honorific	ADJ	vol-25
good	ADJ	vol-25
middle	ADJ	vol-25
next	ADJ	vol-25
long	ADJ	vol-25
right	ADJ	vol-25
left	ADJ	vol-25
middle	ADJ	vol-25
many	ADJ	vol-25
proper	ADJ	vol-25
