word	nodeType	synsetCount	unit
little	ADJ	10	vol-18
certain	ADJ	7	vol-18
same	ADJ	6	vol-18
other	ADJ	4	vol-18
small	ADJ	13	vol-18
sorry	ADJ	4	vol-18
hilarious	ADJ	1	vol-18
unapologetic	ADJ	1	vol-18
right	ADJ	36	vol-18
cool	ADJ	11	vol-18
young	ADJ	14	vol-18
cold	ADJ	16	vol-18
right	ADJ	36	vol-18
cold	ADJ	16	vol-18
correct	ADJ	12	vol-18
right	ADJ	36	vol-18
cold	ADJ	16	vol-18
enough	ADJ	3	vol-18
naked	ADJ	5	vol-18
MOST	ADJ	5	vol-18
special	ADJ	10	vol-18
incredible	ADJ	1	vol-18
male	ADJ	6	vol-18
female	ADJ	5	vol-18
right	ADJ	36	vol-18
right	ADJ	36	vol-18
female	ADJ	5	vol-18
happy	ADJ	4	vol-18
wrong	ADJ	13	vol-18
sorry	ADJ	4	vol-18
sorry	ADJ	4	vol-18
next	ADJ	4	vol-18
different	ADJ	5	vol-18
little	ADJ	10	vol-18
next	ADJ	4	vol-18
huge	ADJ	1	vol-18
curious	ADJ	3	vol-18
curious	ADJ	3	vol-18
serious	ADJ	6	vol-18
important	ADJ	5	vol-18
bad	ADJ	17	vol-18
correct	ADJ	12	vol-18
japanese	ADJ	3	vol-18
difficult	ADJ	2	vol-18
same	ADJ	6	vol-18
beloved	ADJ	2	vol-18
good	ADJ	27	vol-18
actual	ADJ	5	vol-18
much	ADJ	7	vol-18
right	ADJ	36	vol-18
main	ADJ	5	vol-18
easy	ADJ	15	vol-18
happy	ADJ	4	vol-18
new	ADJ	12	vol-18
next	ADJ	4	vol-18
mighty	ADJ	2	vol-18
many	ADJ	1	vol-24
4th	ADJ	1	vol-24
normal	ADJ	5	vol-24
regular	ADJ	17	vol-24
personal	ADJ	6	vol-24
little	ADJ	10	vol-24
little	ADJ	10	vol-24
basic	ADJ	6	vol-24
marine	ADJ	7	vol-24
proud	ADJ	2	vol-24
private	ADJ	5	vol-24
other	ADJ	4	vol-24
own	ADJ	2	vol-24
personal	ADJ	6	vol-24
common	ADJ	10	vol-24
more	ADJ	5	vol-24
weekly	ADJ	3	vol-24
more	ADJ	5	vol-24
17th	ADJ	1	vol-24
jealous	ADJ	2	vol-24
2nd	ADJ	1	vol-24
right	ADJ	36	vol-24
similar	ADJ	5	vol-24
clever	ADJ	3	vol-24
cool	ADJ	11	vol-24
calm	ADJ	8	vol-24
red	ADJ	7	vol-24
royalist	ADJ	2	vol-24
angry	ADJ	3	vol-24
extra	ADJ	7	vol-24
correct	ADJ	12	vol-24
simple	ADJ	9	vol-24
other	ADJ	4	vol-24
small	ADJ	13	vol-24
armed	ADJ	5	vol-24
serious	ADJ	6	vol-24
major	ADJ	13	vol-24
orange	ADJ	6	vol-24
ish	ADJ	0	vol-24
orange	ADJ	6	vol-24
instant	ADJ	5	vol-24
instant	ADJ	5	vol-24
