<xml><header>title	year	country	runtime</header>
<movie>She	1935	USA	101 min</movie>
<movie>The Last Days of Pompeii	1935	USA	96 min</movie>
<movie>Red Salute	1935	USA	80 min</movie>
<movie>China Seas	1935	USA	87 min</movie>
<movie>The Little Colonel	1935	USA	81 min</movie>
<movie>Mississippi	1935	USA	73 min</movie>
<movie>Man on the Flying Trapeze	1935	USA	66 min</movie>
<movie>A Night at the Opera	1935	USA	96 min</movie>
<movie>A Tale of Two Cities	1935	USA	128 min</movie>
<movie>Magnificent Obsession	1935	USA	112 min</movie>
<movie>Bonnie Scotland	1935	USA	80 min</movie>
<movie>The Dark Angel	1935	USA	106 min</movie>
<movie>Thicker Than Water	1935	USA	21 min</movie>
<movie>Rembrandt	1936	UK	85 min</movie>
<movie>Sabotage	1936	UK	76 min</movie>
<movie>Secret Agent	1936	UK	86 min</movie>
<movie>The Amazing Adventure	1936	UK	61 min</movie>
<movie>Things to Come	1936	UK	100 min</movie>
<movie>Forever Yours	1936	UK	73 min</movie>
<movie>Hideout in the Alps	1936	UK	75 min</movie>
<movie>Mickey's Rival	1936	USA	8 min</movie>
<movie>Thru the Mirror	1936	USA	9 min</movie>
<movie>Mickey's Grand Opera	1936	USA	8 min</movie>
<movie>Moving Day	1936	USA	9 min</movie>
<movie>Alpine Climbers	1936	USA	10 min</movie>
<movie>Mickey's Circus	1936	USA	8 min</movie>
<movie>Orphans' Picnic	1936	USA	8 min</movie>
<movie>Mickey's Elephant	1936	USA	8 min</movie>
<movie>Mickey's Polo Team	1936	USA	8 min</movie>
<movie>Private Number	1936	USA	80 min</movie>
<movie>The Milky Way	1936	USA	89 min</movie>
<movie>Little Lord Fauntleroy	1936	USA	102 min</movie>
<movie>The Bohemian Girl	1936	USA	71 min</movie>
<movie>Dracula's Daughter	1936	USA	71 min</movie>
<movie>Dodsworth	1936	USA	101 min</movie>
<movie>The Trail of the Lonesome Pine	1936	USA	102 min</movie>
<movie>Three Blind Mouseketeers	1936	USA	9 min</movie>
<movie>The Great Ziegfeld	1936	USA	176 min</movie>
<movie>Three Little Wolves	1936	USA	9 min</movie>
<movie>Toby Tortoise Returns	1936	USA	7 min</movie>
<movie>Elmer Elephant	1936	USA	8 min</movie>
<movie>Wife vs. Secretary	1936	USA	88 min</movie>
<movie>Mr. Deeds Goes to Town	1936	USA	115 min</movie>
<movie>Riffraff	1936	USA	94 min</movie>
<movie>The Walking Dead	1936	USA	66 min</movie>
<movie>Trouble for Two	1936	USA	75 min</movie>
<movie>Our Relations	1936	USA	73 min</movie>
<movie>The Case Against Mrs. Ames	1936	USA	85 min</movie>
<movie>Human Cargo	1936	USA	66 min</movie>
<movie>The Last of the Mohicans	1936	USA	91 min</movie>
<movie>Don't Gamble with Love	1936	USA	65 min</movie>
<movie>The Golden Arrow	1936	USA	68 min</movie>
<movie>The Unguarded Hour	1936	USA	87 min</movie>
<movie>Stowaway	1936	USA	87 min</movie>
<movie>Libeled Lady	1936	USA	98 min</movie>
<movie>The Texas Rangers	1936	USA	98 min</movie>
<movie>Dimples	1936	USA	79 min</movie>
<movie>Small Town Girl	1936	USA	106 min</movie>
<movie>The Village Smithy	1936	USA	8 min</movie>
<movie>Girls' Dormitory	1936	USA	66 min</movie>
<movie>Wedding Present	1936	USA	81 min</movie>
<movie>"Thank You, Jeeves!"	1936	USA	57 min</movie>
<movie>Donald and Pluto	1936	USA	8 min</movie>
<movie>Pigskin Parade	1936	USA	93 min</movie>
<movie>Show Boat	1936	USA	113 min</movie>
<movie>Theodora Goes Wild	1936	USA	94 min</movie>
<movie>Poor Little Rich Girl	1936	USA	79 min</movie>
<movie>Love Before Breakfast	1936	USA	70 min</movie>
<movie>Modern Times	1936	USA	87 min</movie>
