<xml><header>title	year	country	runtime</header>
<movie>The Sickhouse	2008	UK	100 min</movie>
<movie>The Children	2008	UK	84 min</movie>
<movie>Daylight Robbery	2008	UK	99 min</movie>
<movie>David Icke: Beyond the Cutting Edge	2008	UK	380 min</movie>
<movie>Bronson	2008	UK	92 min</movie>
<movie>The Convert	2008	UK	80 min</movie>
<movie>Clubbed	2008	UK	95 min</movie>
<movie>A Matter of Loaf and Death	2008	UK	30 min</movie>
<movie>The Disappeared	2008	UK	96 min</movie>
<movie>Adele: Make You Feel My Love	2008	UK	4 min</movie>
<movie>Senseless	2008	UK	87 min</movie>
<movie>Cass	2008	UK	108 min</movie>
<movie>Somers Town	2008	UK	71 min</movie>
<movie>Bodyguard: A New Beginning	2008	UK	95 min</movie>
<movie>How to Lose Friends &amp; Alienate People	2008	UK	110 min</movie>
<movie>The Crew	2008	UK	123 min</movie>
<movie>Eden Lake	2008	UK	91 min</movie>
<movie>Incendiary	2008	UK	96 min</movie>
<movie>Filth and Wisdom	2008	UK	84 min</movie>
<movie>Freakdog	2008	UK	82 min</movie>
<movie>The Vanguard	2008	UK	89 min</movie>
<movie>Of Time and the City	2008	UK	74 min</movie>
<movie>Chemical Wedding	2008	UK	109 min</movie>
<movie>Better Things	2008	UK	93 min</movie>
<movie>A Bunch of Amateurs	2008	UK	96 min</movie>
<movie>Journal of a Contract Killer	2008	UK	90 min</movie>
<movie>Dustbin Baby	2008	UK	90 min</movie>
<movie>French Film	2008	UK	87 min</movie>
<movie>Franklyn	2008	UK	98 min</movie>
<movie>Abracadaver!	2008	UK	20 min</movie>
<movie>Mrs In-Betweeny	2008	UK	54 min</movie>
<movie>The Cottage	2008	UK	92 min</movie>
<movie>Outpost	2008	UK	90 min</movie>
<movie>Happy-Go-Lucky	2008	UK	118 min</movie>
<movie>The Big Bang Machine	2008	UK	N/A</movie>
<movie>Freebird	2008	UK	89 min</movie>
<movie>Donkey Punch	2008	UK	99 min</movie>
<movie>Credo	2008	UK	87 min</movie>
<movie>Flashbacks of a Fool	2008	UK	109 min</movie>
<movie>A Deal Is a Deal	2008	UK	106 min</movie>
<movie>Adulthood	2008	UK	99 min</movie>
<movie>The Edge of Love	2008	UK	110 min</movie>
<movie>Poppy Shakespeare	2008	UK	90 min</movie>
<movie>The Girls Aloud Party	2008	UK	N/A</movie>
<movie>Gnaw	2008	UK	90 min</movie>
<movie>James	2008	UK	17 min</movie>
<movie>Beyond the Rave	2008	UK	93 min</movie>
<movie>The 39 Steps	2008	UK	90 min</movie>
<movie>Mum &amp; Dad	2008	UK	84 min</movie>
<movie>Tu�sday	2008	UK	79 min</movie>
<movie>Is Anybody There?	2008	UK	94 min</movie>
<movie>Jimmy Carr: In Concert	2008	UK	87 min</movie>
<movie>Dara O'Briain Talks Funny: Live in London	2008	UK	94 min</movie>
<movie>The Animator's Survival Kit Animated	2008	UK	600 min</movie>
<movie>Frankie Boyle: Live	2008	UK	90 min</movie>
<movie>Black Power Salute	2008	UK	60 min</movie>
<movie>Lee Evans: Big Live at the O2	2008	UK	142 min</movie>
<movie>The Ascent of Money	2008	UK	N/A</movie>
<movie>Sharpe's Peril	2008	UK	102 min</movie>
<movie>God on Trial	2008	UK	86 min</movie>
<movie>I Can't Think Straight	2008	UK	82 min</movie>
<movie>The Machine That Made Us	2008	UK	59 min</movie>
<movie>New Town Killers	2008	UK	100 min</movie>
<movie>Telstar: The Joe Meek Story	2008	UK	119 min</movie>
<movie>Tales of the Riverbank	2008	UK	76 min</movie>
<movie>Ian Hislop Goes Off the Rails	2008	UK	60 min</movie>
<movie>Blackadder Exclusive: The Whole Rotten Saga	2008	UK	92 min</movie>
<movie>Blackadder's Most Cunning Moments	2008	UK	94 min</movie>
<movie>Australia	2008	"UK, Australia, USA"	165 min</movie>
<movie>Dolphins and Whales 3D: Tribes of the Ocean	2008	"UK, Bahamas"	42 min</movie>
<movie>Part of the Weekend Never Dies	2008	"UK, Belgium"	60 min</movie>
<movie>Easy Virtue	2008	"UK, Canada"	97 min</movie>
<movie>Fifty Dead Men Walking	2008	"UK, Canada"	117 min</movie>
<movie>The Broken	2008	"UK, France"	93 min</movie>
<movie>"Definitely, Maybe"	2008	"UK, France, Germany, USA"	112 min</movie>
<movie>Be Kind Rewind	2008	"UK, France, USA"	102 min</movie>
<movie>Summer	2008	"UK, Germany"	83 min</movie>
<movie>Good	2008	"UK, Germany, Hungary"	92 min</movie>
<movie>Transsiberian	2008	"UK, Germany, Spain, Lithuania"	111 min</movie>
<movie>The Love Guru	2008	"UK, Germany, USA"	87 min</movie>
<movie>The Escapist	2008	"UK, Ireland"	102 min</movie>
<movie>The Duchess	2008	"UK, Italy, France, USA"	110 min</movie>
<movie>Brideshead Revisited	2008	"UK, Italy, Morocco"	133 min</movie>
<movie>Kill Kill Faster Faster	2008	"UK, Netherlands"	97 min</movie>
<movie>Affinity	2008	"UK, Romania, Canada"	120 min</movie>
<movie>In Tranzit	2008	"UK, Russia"	113 min</movie>
<movie>Little Ashes	2008	"UK, Spain"	112 min</movie>
<movie>The Garden of Eden	2008	"UK, Spain"	111 min</movie>
<movie>A Summer in Genoa	2008	"UK, Sweden, Cayman Islands"	93 min</movie>
<movie>Gardens of the Night	2008	"UK, USA"	110 min</movie>
<movie>The Other Man	2008	"UK, USA"	88 min</movie>
<movie>Man on Wire	2008	"UK, USA"	94 min</movie>
<movie>The Wackness	2008	"UK, USA"	99 min</movie>
<movie>Einstein and Eddington	2008	"UK, USA"	94 min</movie>
<movie>The Boy in the Striped Pajamas	2008	"UK, USA"	94 min</movie>
<movie>The Tale of Despereaux	2008	"UK, USA"	93 min</movie>
<movie>Quantum of Solace	2008	"UK, USA"	106 min</movie>
<movie>Miss Pettigrew Lives for a Day	2008	"UK, USA"	92 min</movie>
<movie>In Bruges	2008	"UK, USA"	107 min</movie>
<movie>Miss Austen Regrets	2008	"UK, USA"	90 min</movie>
<movie>The Other Boleyn Girl	2008	"UK, USA"	115 min</movie>
<movie>The Bank Job	2008	"UK, USA, Australia"	111 min</movie>
<movie>Slumdog Millionaire	2008	"UK, USA, France, Germany, India"	120 min</movie>
<movie>Miss Conception	2008	"UK, USA, Germany"	104 min</movie>
<movie>The Other End of the Line	2008	"UK, USA, India"	106 min</movie>
<movie>Me and Orson Welles	2008	"UK, USA, Isle Of Man"	114 min</movie>
<movie>Doomsday	2008	"UK, USA, South Africa, Germany"	105 min</movie>
<movie>Summer Lover	2008	Ukraine	88 min</movie>
<movie>The Horribly Slow Murderer with the Extremely Inefficient Weapon	2008	USA	10 min</movie>
<movie>Commentary! The Musical	2008	USA	42 min</movie>
<movie>The Village Barbershop	2008	USA	99 min</movie>
<movie>Fireflies in the Garden	2008	USA	120 min</movie>
<movie>The Kreutzer Sonata	2008	USA	99 min</movie>
<movie>The Art of Being Straight	2008	USA	67 min</movie>
<movie>The Axis of Evil Comedy Tour	2008	USA	64 min</movie>
<movie>Rest Stop: Don't Look Back	2008	USA	89 min</movie>
<movie>Living in Emergency	2008	USA	120 min</movie>
<movie>The Killing of a Chinese Cookie	2008	USA	N/A</movie>
<movie>Vlog	2008	USA	71 min</movie>
<movie>The Case for Faith	2008	USA	79 min</movie>
<movie>Deadgirl	2008	USA	101 min</movie>
<movie>Tennessee	2008	USA	99 min</movie>
<movie>Hackers Are People Too	2008	USA	43 min</movie>
<movie>Fringe	2008	USA	6 min</movie>
<movie>Fading of the Cries	2008	USA	94 min</movie>
<movie>Pretty Ugly People	2008	USA	99 min</movie>
<movie>"Discussions with Richard Dawkins, Episode 1: The Four Horsemen"	2008	USA	120 min</movie>
<movie>The Beautiful Truth	2008	USA	92 min</movie>
<movie>I Am Because We Are	2008	USA	90 min</movie>
<movie>9/11: Blueprint for Truth - The Architecture of Destruction	2008	USA	112 min</movie>
<movie>11th Annual the Kennedy Center Mark Twain Prize for American Humor: George Carlin	2008	USA	N/A</movie>
<movie>Living Proof	2008	USA	125 min</movie>
<movie>No Country for Gay Old Men	2008	USA	19 min</movie>
<movie>Stag Night	2008	USA	84 min</movie>
<movie>Front of the Class	2008	USA	95 min</movie>
<movie>Sunshine Cleaning	2008	USA	91 min</movie>
<movie>Hannah Montana: One in a Million	2008	USA	N/A</movie>
<movie>Ricky Gervais: Out of England - The Stand-Up Special	2008	USA	72 min</movie>
<movie>SEAL Team VI	2008	USA	99 min</movie>
<movie>Comedy Central Roast of Bob Saget	2008	USA	90 min</movie>
<movie>Until the Light Takes Us	2008	USA	93 min</movie>
<movie>Arizona Sky	2008	USA	92 min</movie>
<movie>Six Degrees Could Change the World	2008	USA	96 min</movie>
<movie>The Hive	2008	USA	90 min</movie>
<movie>Choke	2008	USA	92 min</movie>
<movie>Farm House	2008	USA	95 min</movie>
<movie>Uncross the Stars	2008	USA	95 min</movie>
<movie>Battle Planet	2008	USA	85 min</movie>
<movie>Johnny Sunshine Maximum Violence	2008	USA	78 min</movie>
<movie>Defiance	2008	USA	137 min</movie>
<movie>The Worst Horror Movie Ever Made: The Re-Make	2008	USA	110 min</movie>
<movie>Hanah's Gift	2008	USA	90 min</movie>
<movie>Make-Out with Violence	2008	USA	105 min</movie>
<movie>Great White Odyssey	2008	USA	N/A</movie>
<movie>InAlienable	2008	USA	106 min</movie>
<movie>How to Be a Serial Killer	2008	USA	91 min</movie>
<movie>Warbirds	2008	USA	85 min</movie>
<movie>Killing Kasztner	2008	USA	120 min</movie>
<movie>Scooby-Doo and the Goblin King	2008	USA	75 min</movie>
<movie>Disney's Christmas Favorites	2008	USA	58 min</movie>
<movie>The End of Poverty?	2008	USA	106 min</movie>
<movie>Say Goodnight	2008	USA	N/A</movie>
<movie>No Bad Days	2008	USA	98 min</movie>
<movie>A Christmas Proposal	2008	USA	84 min</movie>
<movie>Pretty Bird	2008	USA	120 min</movie>
<movie>Death in Love	2008	USA	97 min</movie>
<movie>Gingerdead Man 2: Passion of the Crust	2008	USA	72 min</movie>
<movie>Poultry in Motion: Truth Is Stranger Than Chicken	2008	USA	82 min</movie>
<movie>Wild Ocean	2008	USA	45 min</movie>
<movie>The American Mall	2008	USA	100 min</movie>
<movie>Felon	2008	USA	104 min</movie>
<movie>Insanitarium	2008	USA	89 min</movie>
<movie>Hancock	2008	USA	92 min</movie>
<movie>What Happens in Vegas	2008	USA	99 min</movie>
<movie>Smother	2008	USA	92 min</movie>
<movie>Recount	2008	USA	116 min</movie>
<movie>Forgetting Sarah Marshall	2008	USA	111 min</movie>
<movie>August	2008	USA	88 min</movie>
<movie>Beautiful	2008	USA	7 min</movie>
<movie>Picture This	2008	USA	92 min</movie>
<movie>Legacy	2008	USA	90 min</movie>
<movie>Belly 2: Millionaire Boyz Club	2008	USA	76 min</movie>
<movie>Happy Valley	2008	USA	90 min</movie>
<movie>The Strangers	2008	USA	86 min</movie>
<movie>Quid Pro Quo	2008	USA	82 min</movie>
<movie>Senior Skip Day	2008	USA	92 min</movie>
<movie>Deception	2008	USA	107 min</movie>
<movie>Baby Mama	2008	USA	99 min</movie>
<movie>The Promotion	2008	USA	86 min</movie>
<movie>The Little Mermaid: Ariel's Beginning	2008	USA	77 min</movie>
<movie>The Morgue	2008	USA	84 min</movie>
<movie>My Sassy Girl	2008	USA	92 min</movie>
<movie>You Don't Mess with the Zohan	2008	USA	113 min</movie>
<movie>Camp Rock	2008	USA	94 min</movie>
<movie>Finding Amanda	2008	USA	96 min</movie>
<movie>Barbie and the Diamond Castle	2008	USA	79 min</movie>
<movie>Foreign Exchange	2008	USA	85 min</movie>
<movie>Death on Demand	2008	USA	90 min</movie>
<movie>Soccer Mom	2008	USA	92 min</movie>
<movie>Son of Sam	2008	USA	80 min</movie>
<movie>Unstable Fables: Tortoise vs. Hare	2008	USA	80 min</movie>
<movie>Shutter	2008	USA	85 min</movie>
<movie>Kung Fu Panda	2008	USA	92 min</movie>
<movie>Harold &amp; Kumar Escape from Guantanamo Bay	2008	USA	104 min</movie>
<movie>Never Back Down	2008	USA	110 min</movie>
<movie>Get Smart's Bruce and Lloyd Out of Control	2008	USA	72 min</movie>
<movie>Nim's Island	2008	USA	96 min</movie>
<movie>Redbelt	2008	USA	99 min</movie>
<movie>Smart People	2008	USA	95 min</movie>
<movie>Shine a Light	2008	USA	122 min</movie>
<movie>Rescued	2008	USA	90 min</movie>
<movie>Life After People	2008	USA	108 min</movie>
<movie>Pathology	2008	USA	95 min</movie>
<movie>WarGames: The Dead Code	2008	USA	100 min</movie>
<movie>College Road Trip	2008	USA	83 min</movie>
<movie>Step Up 2: The Streets	2008	USA	98 min</movie>
<movie>Dead and Gone	2008	USA	85 min</movie>
<movie>Stop-Loss	2008	USA	112 min</movie>
<movie>The Hottie &amp; the Nottie	2008	USA	91 min</movie>
<movie>21	2008	USA	123 min</movie>
<movie>Meet the Browns	2008	USA	100 min</movie>
<movie>Toxic	2008	USA	88 min</movie>
<movie>Superhero Movie	2008	USA	75 min</movie>
<movie>Otis	2008	USA	100 min</movie>
<movie>Magus	2008	USA	91 min</movie>
<movie>Futurama: The Beast with a Billion Backs	2008	USA	90 min</movie>
<movie>Hell Ride	2008	USA	84 min</movie>
<movie>Standard Operating Procedure	2008	USA	116 min</movie>
<movie>Shark in Venice	2008	USA	88 min</movie>
<movie>Dead Space: Downfall	2008	USA	74 min</movie>
<movie>Loaded	2008	USA	98 min</movie>
<movie>Love for Sale	2008	USA	106 min</movie>
<movie>My Friends Tigger and Pooh: The Hundred Acre Wood Haunt	2008	USA	72 min</movie>
<movie>Beer for My Horses	2008	USA	86 min</movie>
<movie>Step Brothers	2008	USA	98 min</movie>
<movie>Traitor	2008	USA	114 min</movie>
<movie>Futurama: Bender's Game	2008	USA	88 min</movie>
<movie>The Sisterhood of the Traveling Pants 2	2008	USA	119 min</movie>
<movie>Make It Happen	2008	USA	90 min</movie>
<movie>Kevin Smith: Sold Out - A Threevening with Kevin Smith	2008	USA	122 min</movie>
<movie>WALL�E	2008	USA	98 min</movie>
<movie>Star Wars: The Clone Wars	2008	USA	98 min</movie>
<movie>Kung Fu Panda: Secrets of the Furious Five	2008	USA	25 min</movie>
<movie>Emma Smith: My Story	2008	USA	98 min</movie>
<movie>The Clique	2008	USA	87 min</movie>
<movie>Tinker Bell	2008	USA	78 min</movie>
<movie>The Longshots	2008	USA	94 min</movie>
<movie>Lower Learning	2008	USA	97 min</movie>
<movie>Garden Party	2008	USA	88 min</movie>
<movie>Space Chimps	2008	USA	81 min</movie>
<movie>George Carlin... It's Bad for Ya!	2008	USA	70 min</movie>
<movie>100 Feet	2008	USA	96 min</movie>
<movie>Next Avengers: Heroes of Tomorrow	2008	USA	78 min</movie>
<movie>Rigged	2008	USA	100 min</movie>
<movie>Mostly Ghostly	2008	USA	93 min</movie>
<movie>Heroes: Countdown to the Premiere	2008	USA	60 min</movie>
<movie>Indiana Jones and the Kingdom of the Crystal Skull	2008	USA	122 min</movie>
<movie>Meet Dave	2008	USA	90 min</movie>
<movie>Get Smart	2008	USA	110 min</movie>
<movie>The Legend of Bloody Mary	2008	USA	93 min</movie>
<movie>Iron Man	2008	USA	126 min</movie>
<movie>Sex and the City	2008	USA	145 min</movie>
<movie>The Incredible Hulk	2008	USA	112 min</movie>
<movie>VeggieTales: Tomato Sawyer &amp; Huckleberry Larry's Big River Rescue	2008	USA	49 min</movie>
<movie>Pulse 2: Afterlife	2008	USA	89 min</movie>
<movie>The Art of Travel	2008	USA	100 min</movie>
<movie>Bigger Stronger Faster*	2008	USA	105 min</movie>
<movie>Harold	2008	USA	90 min</movie>
<movie>Dance of the Dead	2008	USA	87 min</movie>
<movie>"Russell Peters: Red, White and Brown"	2008	USA	80 min</movie>
<movie>Feast II: Sloppy Seconds	2008	USA	100 min</movie>
<movie>Unemployed	2008	USA	95 min</movie>
<movie>Linewatch	2008	USA	90 min</movie>
<movie>Henry Poole Is Here	2008	USA	99 min</movie>
<movie>The Pirates Who Don't Do Anything: A VeggieTales Movie	2008	USA	85 min</movie>
<movie>Triloquist	2008	USA	80 min</movie>
<movie>Red	2008	USA	93 min</movie>
<movie>Hoochie Mamma Drama	2008	USA	83 min</movie>
<movie>Trailer Park of Terror	2008	USA	98 min</movie>
<movie>Birds of America	2008	USA	85 min</movie>
<movie>VeggieTales: Lessons from the Sock Drawer	2008	USA	79 min</movie>
<movie>Journey to the Center of the Earth	2008	USA	93 min</movie>
<movie>Zeitgeist: Addendum	2008	USA	123 min</movie>
<movie>The Prince &amp; Me 3: A Royal Honeymoon	2008	USA	92 min</movie>
<movie>No Man's Land: The Rise of Reeker	2008	USA	88 min</movie>
<movie>American Crude	2008	USA	96 min</movie>
<movie>Minutemen	2008	USA	98 min</movie>
<movie>The Shepherd	2008	USA	95 min</movie>
<movie>Fool's Gold	2008	USA	112 min</movie>
<movie>Unnatural Causes	2008	USA	93 min</movie>
<movie>Sight	2008	USA	85 min</movie>
<movie>Semi-Pro	2008	USA	91 min</movie>
<movie>The Spiderwick Chronicles	2008	USA	96 min</movie>
<movie>Just Add Water	2008	USA	95 min</movie>
<movie>Living Hell	2008	USA	92 min</movie>
<movie>Drillbit Taylor	2008	USA	110 min</movie>
<movie>Street Kings	2008	USA	109 min</movie>
<movie>Witless Protection	2008	USA	97 min</movie>
<movie>"Welcome Home, Roscoe Jenkins"	2008	USA	114 min</movie>
<movie>Chaos Theory	2008	USA	87 min</movie>
<movie>Wieners	2008	USA	89 min</movie>
<movie>The Onion Movie	2008	USA	86 min</movie>
<movie>Mad Money	2008	USA	104 min</movie>
<movie>Meet the Spartans	2008	USA	86 min</movie>
<movie>First Sunday	2008	USA	96 min</movie>
<movie>Conspiracy	2008	USA	90 min</movie>
<movie>Over Her Dead Body	2008	USA	95 min</movie>
<movie>Untraceable	2008	USA	101 min</movie>
<movie>Justice League: The New Frontier	2008	USA	75 min</movie>
<movie>Grizzly Park	2008	USA	91 min</movie>
<movie>Strange Wilderness	2008	USA	87 min</movie>
<movie>Black Ops	2008	USA	100 min</movie>
<movie>Deal	2008	USA	86 min</movie>
<movie>Battlestar Galactica: Revealed	2008	USA	30 min</movie>
<movie>Battlestar Galactica: The Phenomenon	2008	USA	30 min</movie>
<movie>27 Dresses	2008	USA	111 min</movie>
<movie>Horton Hears a Who!	2008	USA	86 min</movie>
<movie>Hero Wanted	2008	USA	94 min</movie>
<movie>"One, Two, Many"	2008	USA	88 min</movie>
<movie>The Cook	2008	USA	85 min</movie>
<movie>April Fool's Day	2008	USA	91 min</movie>
<movie>Show Stoppers	2008	USA	90 min</movie>
<movie>100 Million BC	2008	USA	85 min</movie>
<movie>Impulse	2008	USA	101 min</movie>
<movie>Vantage Point	2008	USA	90 min</movie>
<movie>Snow Buddies	2008	USA	87 min</movie>
<movie>Cloverfield	2008	USA	85 min</movie>
<movie>Day of the Dead	2008	USA	86 min</movie>
<movie>Barbie Mariposa and Her Butterfly Fairy Friends	2008	USA	75 min</movie>
<movie>Bachelor Party 2: The Last Temptation	2008	USA	104 min</movie>
<movie>Pistol Whipped	2008	USA	100 min</movie>
<movie>"Lost: Past, Present &amp; Future"	2008	USA	60 min</movie>
<movie>Columbus Day	2008	USA	90 min</movie>
<movie>The Spirit	2008	USA	103 min</movie>
<movie>True Confessions of a Hollywood Starlet	2008	USA	87 min</movie>
<movie>The Caller	2008	USA	92 min</movie>
<movie>Bolt	2008	USA	96 min</movie>
<movie>Player 5150	2008	USA	91 min</movie>
<movie>Bedtime Stories	2008	USA	99 min</movie>
<movie>Private Valentine: Blonde &amp; Dangerous	2008	USA	98 min</movie>
<movie>Marley &amp; Me	2008	USA	115 min</movie>
<movie>Doubt	2008	USA	104 min</movie>
<movie>Autopsy	2008	USA	84 min</movie>
<movie>From Within	2008	USA	89 min</movie>
<movie>Babysitter Wanted	2008	USA	93 min</movie>
<movie>Hello	2008	USA	8 min</movie>
<movie>"Tulia, Texas"	2008	USA	N/A</movie>
<movie>Stiletto	2008	USA	99 min</movie>
<movie>Extreme Movie	2008	USA	86 min</movie>
<movie>Lake City	2008	USA	93 min</movie>
<movie>Milk	2008	USA	128 min</movie>
<movie>"Synecdoche, New York"	2008	USA	124 min</movie>
<movie>Deep Winter	2008	USA	96 min</movie>
<movie>The Librarian III: The Curse of the Judas Chalice	2008	USA	90 min</movie>
<movie>Gospel Hill	2008	USA	99 min</movie>
<movie>Cadillac Records	2008	USA	109 min</movie>
<movie>What Just Happened	2008	USA	104 min</movie>
<movie>Rachel Getting Married	2008	USA	113 min</movie>
<movie>Welcome to Macintosh	2008	USA	90 min</movie>
<movie>The Russell Girl	2008	USA	120 min</movie>
<movie>Changeling	2008	USA	141 min</movie>
<movie>Sex Drive	2008	USA	109 min</movie>
<movie>The Haunting of Molly Hartley	2008	USA	82 min</movie>
<movie>Broken Fences	2008	USA	101 min</movie>
<movie>Beverly Hills Chihuahua	2008	USA	91 min</movie>
<movie>The Hurt Locker	2008	USA	131 min</movie>
<movie>Cleaner	2008	USA	17 min</movie>
<movie>All Roads Lead Home	2008	USA	108 min</movie>
<movie>Humboldt County	2008	USA	97 min</movie>
<movie>Fireproof	2008	USA	122 min</movie>
<movie>The Lucky Ones	2008	USA	115 min</movie>
<movie>AmericanEast	2008	USA	110 min</movie>
<movie>Amusement	2008	USA	85 min</movie>
<movie>Swing Vote	2008	USA	120 min</movie>
<movie>The Last Man	2008	USA	120 min</movie>
<movie>The Rocker	2008	USA	102 min</movie>
<movie>The Curious Case of Benjamin Button	2008	USA	166 min</movie>
<movie>Repo! The Genetic Opera	2008	USA	98 min</movie>
<movie>Vacancy 2: The First Cut	2008	USA	86 min</movie>
<movie>City of Ember	2008	USA	90 min</movie>
<movie>Boogeyman 3	2008	USA	94 min</movie>
<movie>Seven Pounds	2008	USA	123 min</movie>
<movie>Tropic Thunder: Rain of Madness	2008	USA	30 min</movie>
<movie>College	2008	USA	94 min</movie>
<movie>The Secret Life of Bees	2008	USA	114 min</movie>
<movie>Spy School	2008	USA	86 min</movie>
<movie>Madagascar: Escape 2 Africa	2008	USA	89 min</movie>
<movie>Zack and Miri Make a Porno	2008	USA	101 min</movie>
<movie>Bottle Shock	2008	USA	110 min</movie>
<movie>Quarantine	2008	USA	89 min</movie>
<movie>Soul Men	2008	USA	100 min</movie>
<movie>The Eleventh Hour	2008	USA	93 min</movie>
<movie>Good Dick	2008	USA	86 min</movie>
<movie>The Midnight Meat Train	2008	USA	100 min</movie>
<movie>Religulous	2008	USA	101 min</movie>
<movie>A Good Day to Be Black &amp; Sexy	2008	USA	92 min</movie>
<movie>Allan Quatermain and the Temple of Skulls	2008	USA	98 min</movie>
<movie>The Guitar	2008	USA	95 min</movie>
<movie>High School Musical 3: Senior Year	2008	USA	112 min</movie>
<movie>Frozen River	2008	USA	97 min</movie>
<movie>Killer Movie	2008	USA	93 min</movie>
<movie>Disaster Movie	2008	USA	87 min</movie>
<movie>Alien Raiders	2008	USA	85 min</movie>
<movie>Midnight Movie	2008	USA	82 min</movie>
<movie>Shoot Up/Shoot Out: The Story Behind 'The Man with the Golden Arm'	2008	USA	N/A</movie>
<movie>Beethoven's Big Break	2008	USA	101 min</movie>
<movie>My Best Friend's Girl	2008	USA	101 min</movie>
<movie>Appaloosa	2008	USA	115 min</movie>
<movie>Lakeview Terrace	2008	USA	110 min</movie>
<movie>Wisegal	2008	USA	89 min</movie>
<movie>Righteous Kill	2008	USA	101 min</movie>
<movie>Strictly Sexual	2008	USA	100 min</movie>
<movie>Open Season 2	2008	USA	76 min</movie>
<movie>The Adventures of Young Indiana Jones: Scandal of 1920	2008	USA	89 min</movie>
<movie>The Memory Keeper's Daughter	2008	USA	90 min</movie>
<movie>Pineapple Express	2008	USA	111 min</movie>
<movie>The House Bunny	2008	USA	97 min</movie>
<movie>Jeff Dunham's Very Special Christmas Special	2008	USA	85 min</movie>
<movie>24	2008	USA	84 min</movie>
<movie>Killer Pad	2008	USA	84 min</movie>
<movie>The Women	2008	USA	114 min</movie>
<movie>Elegy	2008	USA	112 min</movie>
<movie>Hamlet 2	2008	USA	92 min</movie>
<movie>American Teen	2008	USA	95 min</movie>
<movie>An American Carol	2008	USA	83 min</movie>
<movie>The Man Who Came Back	2008	USA	112 min</movie>
<movie>Ghost Town	2008	USA	102 min</movie>
<movie>"Surfer, Dude"	2008	USA	85 min</movie>
<movie>Heatstroke	2008	USA	83 min</movie>
<movie>Bangkok Dangerous	2008	USA	99 min</movie>
<movie>The 10th Annual 'A Home for the Holidays' with Faith Hill	2008	USA	N/A</movie>
<movie>Halford: Live at Rock in Rio 2001	2008	USA	N/A</movie>
<movie>The Great Buck Howard	2008	USA	90 min</movie>
<movie>Twilight	2008	USA	122 min</movie>
<movie>The Golden Boys	2008	USA	97 min</movie>
<movie>Sita Sings the Blues	2008	USA	82 min</movie>
<movie>Green Flash	2008	USA	95 min</movie>
<movie>Leaving Barstow	2008	USA	85 min</movie>
<movie>The Fifth Commandment	2008	USA	90 min</movie>
<movie>The Human Contract	2008	USA	103 min</movie>
<movie>Bart Got a Room	2008	USA	80 min</movie>
<movie>Polar Opposities	2008	USA	85 min</movie>
<movie>The New Twenty	2008	USA	92 min</movie>
<movie>Delgo	2008	USA	94 min</movie>
<movie>Necessary Evil	2008	USA	87 min</movie>
<movie>The Steele Project: Ides of March	2008	USA	65 min</movie>
<movie>Precious Metal: The Otto Steinholz Story	2008	USA	8 min</movie>
<movie>Ella and the Astronaut	2008	USA	N/A</movie>
<movie>Backstabbers 1-3	2008	USA	32 min</movie>
<movie>Mr. Lux in 'At Your Service'	2008	USA	4 min</movie>
<movie>Speaking Freely Volume 4: Chalmers Johnson	2008	USA	52 min</movie>
<movie>Haunted Echoes	2008	USA	93 min</movie>
<movie>Splinter	2008	USA	82 min</movie>
<movie>The Last Word	2008	USA	90 min</movie>
<movie>Ready? OK!	2008	USA	27 min</movie>
<movie>Last Chance Harvey	2008	USA	93 min</movie>
<movie>Cyclops	2008	USA	94 min</movie>
<movie>The Day the Earth Stopped	2008	USA	89 min</movie>
<movie>Sex and Lies in Sin City	2008	USA	95 min</movie>
<movie>Exit Speed	2008	USA	91 min</movie>
<movie>The Alphabet Killer	2008	USA	98 min</movie>
<movie>Tenacious D: The Complete Masterworks 2	2008	USA	N/A</movie>
<movie>Where the #$&amp;% Is Santa?	2008	USA	90 min</movie>
<movie>Nothing But the Truth	2008	USA	108 min</movie>
<movie>The Collective	2008	USA	85 min</movie>
<movie>Flirting with Forty	2008	USA	87 min</movie>
<movie>What Doesn't Kill You	2008	USA	100 min</movie>
<movie>Labou	2008	USA	95 min</movie>
<movie>Fragments	2008	USA	100 min</movie>
<movie>The Level	2008	USA	90 min</movie>
<movie>Phoebe in Wonderland	2008	USA	96 min</movie>
<movie>Dark Streets	2008	USA	83 min</movie>
<movie>Were the World Mine	2008	USA	95 min</movie>
<movie>Morning Light	2008	USA	97 min</movie>
<movie>Killshot	2008	USA	95 min</movie>
<movie>Parasomnia	2008	USA	103 min</movie>
<movie>Plague Town	2008	USA	88 min</movie>
<movie>Yonkers Joe	2008	USA	101 min</movie>
<movie>Consuming Kids: The Commercialization of Childhood	2008	USA	66 min</movie>
<movie>3-Day Weekend	2008	USA	84 min</movie>
<movie>Hope &amp; Redemption: The Lena Baker Story	2008	USA	106 min</movie>
<movie>Train	2008	USA	94 min</movie>
<movie>The Trouble with Young Girls	2008	USA	81 min</movie>
<movie>"War, Inc."	2008	USA	107 min</movie>
<movie>Trucker	2008	USA	90 min</movie>
<movie>2012 Doomsday	2008	USA	85 min</movie>
<movie>Tru Loved	2008	USA	102 min</movie>
<movie>It Might Get Loud	2008	USA	98 min</movie>
<movie>The Errand of Angels	2008	USA	91 min</movie>
<movie>"New York, I Love You"	2008	USA	103 min</movie>
<movie>More Than a Game	2008	USA	105 min</movie>
